HCG ra dec z err_z Dist(Mpc) mag_g e_mag_g mag_r e_mag_r mag_i e_mag_i mag_k e_mag_k ext_g ext_r ext_i cork_g cork_r cork_i cork_k Mag_g e_Mag_g Mag_r e_Mag_r Mag_i e_Mag_i Mag_Ks e_Mag_Ks log_SM(H0=70) e_log(SM) R50(arcsec) e_R50(arcsec) R50(kpc) e_R50(kpc) ELLIPTICITY THETA_IMAGE a(arcsec) e_a(arcsec) b(arcsec) e_b(arcsec)
      HCG01c    6.4767   25.7237   0.03354   0.00011   142.663  15.4569   0.0020  14.5678   0.0015  14.1506   0.0018  13.4340   0.0640  0.1407  0.1020  0.0774   0.0857   0.0466   0.0309  -0.0608  -20.6127   0.0020  -21.4240   0.0015  -21.8009   0.0018  -22.3484   0.0640   10.712    0.026   4.503   0.010   3.013   0.007  0.103  36.90 20.836  0.046 18.680  0.041
      HCG01d    6.4950   25.7252   0.03376   0.00016   143.566  16.6062   0.0035  15.8826   0.0029  15.3123   0.0038  14.8900   0.1030  0.1444  0.1047  0.0794   0.0415   0.0782   0.0393  -0.0551  -19.4371   0.0035  -20.1576   0.0029  -20.6638   0.0038  -20.9123   0.1030   10.188    0.041   2.848   0.011   1.918   0.007  0.463 -59.10 14.662  0.057  7.876  0.030
      HCG06a    9.8075   -8.3943   0.03892   0.00015   165.328  15.4997   0.0022  14.6194   0.0014  14.2415   0.0017  13.3490   0.0570  0.1383  0.1003  0.0761   0.1008   0.0437   0.0301  -0.0743  -20.9140   0.0022  -21.6992   0.0014  -22.0393   0.0017  -22.7513   0.0570   10.825    0.023   3.036   0.007   2.342   0.005  0.419  30.90 15.994  0.036  9.295  0.021
      HCG06b    9.7926   -8.3971   0.03795   0.00020   161.243  15.4033   0.0035  14.5354   0.0020  14.1483   0.0025  13.4240   0.0550  0.1379  0.1000  0.0759   0.0980   0.0417   0.0290  -0.0730  -20.9509   0.0035  -21.7246   0.0020  -22.0748   0.0025  -22.6213   0.0550   10.837    0.022   5.620   0.014   4.232   0.011  0.580 -23.60 29.966  0.076 12.589  0.031
      HCG06c    9.7961   -8.3998   0.03658   0.00020   155.480  15.5588   0.0026  14.6885   0.0016  14.2618   0.0021  13.5680   0.0870  0.1380  0.1001  0.0759   0.0895   0.0536   0.0325  -0.0658  -20.7051   0.0026  -21.5016   0.0016  -21.8830   0.0021  -22.4025   0.0870   10.733    0.035   3.870   0.010   2.814   0.007  0.264 -51.50 18.076  0.046 13.307  0.032
      HCG06d    9.7815   -8.4010   0.03814   0.00021   162.043  17.1736   0.0094  16.4591   0.0071  16.2425   0.0092 -99.0000 -99.0000  0.1377  0.0998  0.0757   0.0635   0.0462   0.0036 -99.0000  -19.1570   0.0094  -19.8163   0.0071  -19.9663   0.0092  -99.0000 -99.0000    9.924    0.006   3.436   0.025   2.600   0.019  0.487  -7.50 14.629  0.108  7.508  0.057
      HCG07a    9.8060    0.8643   0.01379   0.00001    58.903  13.0478   0.0005  12.2826   0.0003  11.8818   0.0004  11.0970   0.0230  0.0772  0.0560  0.0425   0.0213   0.0234   0.0142  -0.0242  -20.9311   0.0005  -21.6772   0.0003  -22.0553   0.0004  -22.7592   0.0230   10.724    0.009  13.495   0.007   3.801   0.002  0.592  77.10 67.536  0.036 27.547  0.015
      HCG07b    9.8243    0.9128   0.01419   0.00008    60.632  13.4887   0.0006  12.7147   0.0004  12.3076   0.0005  11.8810   0.0300  0.0753  0.0546  0.0414   0.0236   0.0234   0.0146  -0.0251  -20.5543   0.0006  -21.3075   0.0004  -21.6926   0.0005  -22.0381   0.0300   10.588    0.012   8.415   0.006   2.439   0.002  0.333 -83.10 50.869  0.038 33.943  0.026
      HCG07c    9.8951    0.8599   0.01473   0.00006    62.910  13.2111   0.0008  12.6411   0.0007  12.3203   0.0009  11.8260   0.0850  0.0763  0.0553  0.0420   0.0086   0.0235   0.0105  -0.0260  -20.8991   0.0008  -21.4631   0.0007  -21.7576   0.0009  -22.1734   0.0850   10.565    0.034  24.247   0.018   7.288   0.005  0.234  56.20 77.511  0.057 59.335  0.044
      HCG07d    9.8283    0.8919   0.01375   0.00006    58.729  14.2499   0.0016  13.6270   0.0015  13.3022   0.0019  13.5630   0.0960  0.0758  0.0550  0.0417   0.0189   0.0133   0.0075  -0.0271  -19.7186   0.0016  -20.3152   0.0015  -20.6209   0.0019  -20.2838   0.0960   10.158    0.038  19.493   0.033   5.475   0.009  0.084  32.90 59.704  0.101 54.670  0.090
      HCG08a   12.3923   23.5783   0.05363   0.00012   227.027  14.5722   0.0017  13.6597   0.0011  13.2404   0.0011  12.4830   0.0820  0.1290  0.0936  0.0710   0.1446   0.0667   0.0440  -0.0989  -22.5953   0.0017  -23.3944   0.0011  -23.7684   0.0011  -24.3119   0.0820   11.509    0.033  13.178   0.014  13.767   0.015  0.345  49.50 42.377  0.047 27.768  0.031
      HCG08b   12.3968   23.5916   0.05331   0.00010   225.689  15.9688   0.0029  15.0350   0.0016  14.5828   0.0016  13.5900   0.0830  0.1291  0.0937  0.0710   0.1455   0.0761   0.0494  -0.0955  -21.1861   0.0029  -22.0151   0.0016  -22.4180   0.0016  -23.1948   0.0830   10.961    0.033   3.336   0.008   3.465   0.008  0.355  90.00 17.239  0.039 11.117  0.024
      HCG08c   12.3989   23.5841   0.05677   0.00010   240.152  15.7498   0.0030  14.8464   0.0021  14.3935   0.0021  13.6270   0.0710  0.1284  0.0932  0.0706   0.1505   0.0785   0.0471  -0.1021  -21.5515   0.0030  -22.3476   0.0021  -22.7466   0.0021  -23.2932   0.0710   11.086    0.028   4.230   0.010   4.660   0.011  0.338 -25.90 20.486  0.050 13.563  0.034
      HCG08d   12.4026   23.5734   0.05438   0.00010   230.166  15.5518   0.0022  14.6877   0.0015  14.2790   0.0015  13.1960   0.1000  0.1272  0.0923  0.0700   0.1343   0.0657   0.0396  -0.1006  -21.6349   0.0022  -22.3955   0.0015  -22.7558   0.0015  -23.6286   0.1000   11.089    0.040   6.335   0.010   6.704   0.011  0.356  25.70 23.105  0.037 14.878  0.023
     HCG100a    0.3332   13.1112   0.01790   0.00002    76.400  13.7431   0.0006  12.9742   0.0005  12.5608   0.0007  11.6870   0.0260  0.3058  0.2218  0.1682   0.0249   0.0304   0.0154  -0.0315  -21.0416   0.0006  -21.7320   0.0005  -22.0768   0.0007  -22.7355   0.0260   10.727    0.010   7.025   0.006   2.556   0.002  0.461  -8.90 33.415  0.031 18.025  0.016
     HCG100b    0.3585   13.1130   0.01753   0.00012    74.840  14.9662   0.0018  14.4844   0.0023  14.1737   0.0032  14.0880   0.0970  0.3064  0.2222  0.1685   0.0063   0.0164   0.0036  -0.0340  -19.7549   0.0018  -20.1626   0.0023  -20.4068   0.0032  -20.2864   0.0970   10.013    0.039   7.889   0.020   2.813   0.007  0.326  48.70 31.862  0.082 21.480  0.053
     HCG100c    0.3058   13.1441   0.01822   0.00013    77.747  15.5477   0.0028  14.9773   0.0032  14.6455   0.0041  14.2930   0.1160  0.3092  0.2243  0.1701   0.0136   0.0199   0.0065  -0.0349  -19.2677   0.0028  -19.7595   0.0032  -20.0237   0.0041  -20.1647   0.1160    9.880    0.046   7.642   0.026   2.829   0.010  0.601 -18.40 34.755  0.120 13.878  0.050
     HCG100d    0.3124   13.1126   0.01865   0.00011    79.575  16.3817   0.0045  15.8121   0.0055  15.4306   0.0072  15.9900   0.2640  0.3059  0.2219  0.1683   0.0207   0.0093   0.0055  -0.0398  -18.4890   0.0045  -18.9631   0.0055  -19.2872   0.0072  -18.5142   0.2640    9.602    0.106   7.110   0.037   2.693   0.014  0.703 -39.80 33.532  0.176  9.971  0.054
      HCG10a   21.5907   34.7030   0.01731   0.00002    73.891  13.0418   0.0007  12.2617   0.0006  11.7749   0.0006  11.0920   0.0190  0.1955  0.1418  0.1075   0.0265   0.0284   0.0200  -0.0296  -21.5604   0.0007  -22.2887   0.0006  -22.7328   0.0006  -23.2586   0.0190   11.020    0.008  15.368   0.011   5.412   0.004  0.665 -10.80 90.940  0.064 30.499  0.020
      HCG10b   21.4183   34.7133   0.01608   0.00006    68.681  12.9752   0.0003  12.1380   0.0003  11.6793   0.0003  10.9600   0.0180  0.1819  0.1319  0.1000   0.0271   0.0300   0.0190  -0.0276  -21.4526   0.0003  -22.2428   0.0003  -22.6586   0.0003  -23.2312   0.0180   10.987    0.007  10.416   0.004   3.413   0.001  0.192  80.80 50.239  0.020 40.599  0.016
